mag, bv, long, lat
3.5596,0.75,-93.3853,27.7207
3.5618,0.003,-77.48,33.3627
3.5681,-0.104,-97.2254,-60.6838
3.5692,0.912,-48.6776,61.8388
3.5711,0.918,-131.9288,-52.0992
3.5778,0.104,86.7389,-14.8219
3.5778,0.007,135.9064,47.1565
3.5831,-0.1,42.496,27.2605
3.5835,0.587,12.2762,57.8152
3.5847,1.729,105.4298,-27.9348
3.5999,-0.177,-125.336,-29.7777
3.6031,0.374,110.0307,21.9823
3.6041,-0.099,-14.5197,42.326
3.6075,0.262,-95.6033,-15.3986
3.6084,-0.07,57.2906,24.0534
3.6112,-0.196,9.2429,53.8969
3.6148,0.106,109.5232,16.5404
3.6188,-0.18,130.8981,-33.1864
3.6215,1.571,-60.3107,19.4921
3.6235,1.161,17.1475,-10.1823
3.6236,-0.157,72.8015,5.6051
3.6268,0.961,-131.1243,33.3148
3.6282,0.516,145.2876,9.8923
3.6295,0.727,26.017,-15.9375
3.6327,-0.101,-88.3422,-50.0915
3.6405,0.102,103.1972,33.9613
3.6411,0.916,-109.276,38.9223
3.6452,-0.049,-148.9027,64.3759
3.6469,0.956,-134.5135,40.3906
3.647,-0.179,73.5629,2.4407
3.6577,0.371,142.675,-40.4667
3.6666,0.489,-84.7359,72.7328
3.6685,0.933,-17.4992,24.6016
3.6704,1.053,-17.5799,66.2004
3.6714,1.481,124.1288,9.1855
3.6796,0.915,55.8121,-9.7634
3.6811,-0.19,84.6866,-2.6
3.6836,0.073,-123.4531,15.4218
3.684,0.16,176.4017,-66.7288
3.6857,-0.105,56.2189,24.1133
3.6876,0.751,-57.8183,-66.1821
3.688,1.151,-75.5675,-21.1067
3.6909,1.534,-129.5485,-36.2614
3.6977,0.481,86.1158,-22.4484
3.6992,1.014,67.1542,19.1804
3.7025,0.947,173.2505,-31.8576
3.7082,-0.082,51.7923,9.7327
3.7103,-0.18,84.6901,-2.5997
3.7136,0.518,177.6738,1.7647
3.7179,1.112,169.8352,-14.7785
3.72,1.706,116.3137,-37.9686
3.723,0.425,-50.6127,14.5951
3.7285,0.932,116.1119,24.398
3.7303,1.614,49.8792,-21.7579
3.7319,1.389,-174.66,-60.4011
3.7327,0.36,142.8821,63.0619
3.7331,1.298,-142.0425,30.3714
3.7371,-0.005,-138.4378,1.8929
3.7373,0.319,-128.0428,29.1057
3.7388,0.883,-55.4864,-12.5449
3.7439,-0.159,114.7078,-26.8038
3.7448,-0.224,-150.4322,-42.1008
3.745,0.406,-22.7921,-0.0199
3.7471,1.361,-125.744,-28.1351
